_id,품목ID,작성자,점수,옵션,댓글
658fa88440337d127f0910a4,658fa88140337d127f0910a3,치요데스,5점만점에 5점,[옵션] 핑크다이아,가격대비 그냥 저렴한 손톱영양제 수준이에요가격을 보고 대단한 걸 바라시는 건 조금 ㅎ 안타까워용그냥 다 쓰면 저렴한 걸로 갈아타려고용
658fa88440337d127f0910a5,658fa88140337d127f0910a3,슺슺TOP 621한달이상사용,5점만점에 5점,[옵션] 핑크다이아,"젤네일 후 얇아진 손톱이 갈라지고 상해서 영양제가 급히 필요해 구매해봤습니다!🔹사용감향은 일반 메니큐어향이랑 비슷해요! 살짝 독한 느낌입니다.바른 후 빠르게 건조돼서 좋았어요. 색상은 살짝 생기도는 핑크 빛으로 강한 발색 아니고 생기만 주는 느낌입니다.바른 후 반짝반짝 탱글탱글한 느낌이 예뻐요!✔️얇아져서 꺽이는 손톱을 단단하게 만들어줘서 만족스러워요!!손톱에 영양을 줘서 건강해지는지는 더 사용해봐야 알 수 있을 것 같아요!👍🏻빠른 건조, 자연스러운 색상, 단단해지는 손톱🥲 향이 독함, 생각보다 용량 적음"
658fa88440337d127f0910a6,658fa88140337d127f0910a3,달나라별,5점만점에 5점,[옵션] 핑크다이아 기획,손톱이 너무 잘깨지고 찢어져서 영양제가 절실 ㅜ손톱 정리도 잘 안되서 지저분했는데 크리스탈푸셔가 기획으로 같이 들어있어서 받자마자 큐티클 정리하고 손톱 정리도 하고 영양제 발랐어요 금새 건조되고 반짝반짝 네일 관리받은것같은 기분이 들어서 기분 좋아요^^손톱이 약해서 젤네일하고나면 손톱이 빠지고 찢어져서 힘들었는데 영양제만 발랐는데 네일샵 다녀온것 같아요!!!바를수록 손톱 손상도 개선된다니 꾸준히 발라보려구요!!
658fa88440337d127f0910a7,658fa88140337d127f0910a3,메리블리,5점만점에 5점,[옵션] 핑크다이아 기획,젤네일 오래해서 손톱이 얇아지고 손상이 심한데 지인이 이제품 추천해줘서 구매했어요확실히 이거 바르고나면 손톱이 튼튼해지는 느낌이 들고 맨손톱이어도 핑크빛으로 반짝여서 매니큐어 바른 느낌이에요저는 남편이랑 함께 바르고 있는데 남편 발라주면 좋아하더라구요 ㅎㅎ손톱이 건강해야 네일도 예쁘고 오래 유지되니 휴지기에 잘 챙겨서 발라줘야겠어요!
658fa88440337d127f0910a8,658fa88140337d127f0910a3,문라이트527,5점만점에 5점,[옵션] 핑크다이아 기획,평소 손을 사용하는 일을 하고 있어서 손톱 관리에 신경쓰는 편이에요~~ 네일은 하기 좀 그래서 손톱이 깔끔하게 보이도록 큐티클제거와 영양제정도 발라주며 관리 중인데 반디제퓸으로 사용하면 손톱이 튼튼해지고 잘 깨지지 않아 만족하며 사용중인 제품입니다^^
658fa88440337d127f0910a9,658fa88140337d127f0910a3,ohsaehwa,5점만점에 5점,[옵션] 핑크다이아 기획,"출산 후 육아와 일 두가지일을 병해하느라 바쁜 나날들손톱케어를 해주어야 하는데 이미 약해진 손톱이부서지거나 거칠어진게 느껴지더라고요손톱세로줄, 손톱 가로줄도 느껴지고 한껏 얇아지고 거칠어진 손톱으로 이럴때 도와줄 수 있는 반디 핑크다이아 손톱영양제를 사용해 봤어요. 바르기도 간편하고 혼자서도 쓱쓱 바르기 좋은 제품으로 미끈거림과 끈적임 없이 산뜻하게 흡수도 빨리되서 아침과 저녁에 바르고 있어요.손톱을 바르기 전과 후를 비교해보면 확실히 수분감이 생겼고 꾸준히 발라주면 손톱세로줄도 없어질 수 있겠더라구요. 꾸준히 사용해야겠어요."
658fa88440337d127f0910aa,658fa88140337d127f0910a3,윾라,5점만점에 5점,[옵션] 핑크다이아 기획,"젤네일을 거의 꾸준히 하는데다가 셀프로 뜯은적도 있어서 손톱이 얇고 건조하고 상했어요ㅠㅠ그냥 투명 폴리쉬가 아닌 손톱에 영양을 주고 강화시켜준다고해서 구매했어요적당히 반짝거려서 깔끔해보이고 영양, 강화효과도 있다고하니 꾸준히 사용해보려고요~~"
658fa88440337d127f0910ab,658fa88140337d127f0910a3,일하는자몽듀스,5점만점에 5점,[옵션] 핑크다이아 기획,"손톱이 무지막지하게 잘 깨지고 까져서 사봤는데, 확실히 깨지는게 덜 하는것 같슴돠"
658fa88440337d127f0910ac,658fa88140337d127f0910a3,zn605znTOP 352,5점만점에 5점,[옵션] 핑크다이아 기획,정말 기대 이상을 충족해준 손톱영양제에요~처음 딱 발랐을 때 손톱에 도는 핑키한 광택이 넘 이뻐서이건 영양제 용도에 추가로 이뻐서 자주 손이 갈 것 같은 제품이라는 생각이 들었어요!그리고 바르자마자 거의 바로 말라서 불편감 없이 사용할 수 있었어요~같이 기획으로 들어 있었던 크리스탈 푸셔도 퀄 좋아서 아주 만족합니당~
658fa88440337d127f0910ad,658fa88140337d127f0910a3,이젼이,5점만점에 4점,[옵션] 핑크다이아 기획,핑크색이라 손톱이 건강해 보여서 좋아요!튼튼해 지는건 좀 지켜봐야 알 것 같아요증정된 푸셔 쓰기 편하고 너무 좋네요깔끔하게 정리할 수 있어서 좋아요 ♡
